"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","17-Feb-2025","722.15","719.05","728.75","711.55","727.90","727.70","721.67","90,93,600","6,56,25,43,848.90","2,19,084","34,06,046","37.46"
"SBIN","EQ","18-Feb-2025","727.70","727.70","728.25","717.35","725.50","725.80","723.76","85,62,003","6,19,68,17,709.85","1,96,786","41,50,815","48.48"
"SBIN","EQ","19-Feb-2025","725.80","722.05","734.85","722.05","726.00","727.30","728.86","67,66,606","4,93,18,83,943.60","1,41,913","24,25,057","35.84"
"SBIN","EQ","20-Feb-2025","727.30","724.90","731.50","723.35","728.85","729.70","729.14","74,23,268","5,41,25,95,518.05","1,49,827","40,98,018","55.21"
"SBIN","EQ","21-Feb-2025","729.70","727.30","731.70","720.00","720.35","722.00","724.72","65,71,602","4,76,25,73,887.35","1,73,223","27,63,973","42.06"
"SBIN","EQ","24-Feb-2025","722.00","710.50","719.75","710.50","716.20","716.40","715.85","69,12,148","4,94,80,71,432.70","1,93,311","31,31,540","45.30"
"SBIN","EQ","25-Feb-2025","716.40","718.95","718.95","710.00","710.05","710.90","713.58","85,99,635","6,13,65,27,160.15","1,85,705","40,08,662","46.61"
"SBIN","EQ","27-Feb-2025","710.90","716.00","717.70","701.10","702.30","703.90","707.28","1,20,33,139","8,51,07,89,065.15","2,05,060","66,36,325","55.15"
"SBIN","EQ","28-Feb-2025","703.90","700.90","701.35","682.60","689.80","688.80","690.06","1,57,80,609","10,88,95,17,995.15","2,52,397","93,46,941","59.23"
"SBIN","EQ","03-Mar-2025","688.80","690.15","697.40","680.00","696.15","695.30","689.59","1,05,98,479","7,30,85,57,453.60","1,87,766","49,01,081","46.24"
"SBIN","EQ","04-Mar-2025","695.30","693.00","718.45","692.10","716.40","716.05","712.88","1,43,86,214","10,25,56,88,811.35","2,20,118","63,24,959","43.97"
"SBIN","EQ","05-Mar-2025","716.05","717.55","731.30","717.00","730.00","730.35","725.61","1,04,09,805","7,55,34,94,263.10","1,89,027","58,12,211","55.83"
"SBIN","EQ","06-Mar-2025","730.35","736.00","736.75","727.00","730.25","732.05","731.45","1,09,28,847","7,99,38,92,337.10","2,11,006","63,31,838","57.94"
"SBIN","EQ","07-Mar-2025","732.05","732.05","734.85","728.00","731.95","732.75","731.74","72,46,729","5,30,27,55,367.95","1,69,004","38,37,316","52.95"
"SBIN","EQ","10-Mar-2025","732.75","732.75","738.50","726.60","727.70","728.90","732.30","74,00,109","5,41,91,25,663.50","1,40,264","41,07,288","55.50"
"SBIN","EQ","11-Mar-2025","728.90","724.90","734.05","722.70","729.90","729.85","729.33","55,38,789","4,03,96,29,878.35","1,06,128","26,95,190","48.66"
"SBIN","EQ","12-Mar-2025","729.85","730.60","737.00","719.05","722.75","723.05","726.43","55,47,762","4,03,00,71,050.60","1,09,147","22,32,288","40.24"
"SBIN","EQ","13-Mar-2025","723.05","725.90","731.45","724.50","728.00","727.85","728.41","59,08,337","4,30,36,76,476.60","1,54,692","26,81,024","45.38"
